Week,Tweets,DJ%Change,SP%Change,STDTweets,STDDJ,STDSP
12/28/2018 - 1/3/2019,61,-0.0077,-0.007,-1.22,-0.810146509,-0.815277677
1/4/2019 - 1/10/2019,66,0.0399,0.042,-1.15,2.9167638,3.209962108
1/11/2019 - 1/17/2019,85,0.0219,0.025,-0.88,1.507427969,1.813450346
1/18/2019 - 1/24/2019,121,-0.0024,-0.003,-0.38,-0.395175403,-0.486686674
1/25/2019 - 1/31/2019,65,0.0111,0.018,-1.16,0.66182647,1.238416091
2/1/2019 - 2/7/2019,34,0.0104,0.007,-1.6,0.607018965,0.334790833
2/8/2019 - 2/14/2019,75,0.0115,0.015,-1.02,0.693145044,0.991972839
2/15/2019 - 2/21/2019,71,0.0145,0.01,-1.08,0.928034349,0.581234085
2/22/2019 - 2/28/2019,69,0.0008,0.003,-1.11,-0.144626811,0.00619983
3/1/2019 - 3/7/2019,85,-0.0245,-0.021,-0.88,-2.125526618,-1.965346187
3/8/2019 - 3/14/2019,126,0.0231,0.021,-0.31,1.601383691,1.484859343
3/15/2019 - 3/21/2019,106,0.0114,0.014,-0.59,0.6853154,0.909825088
3/22/2019 - 3/28/2019,67,-0.0129,-0.015,-1.13,-1.217287971,-1.472459683
3/29/2019 - 4/4/2019,60,0.0154,0.01,-1.23,0.998501141,0.581234085
4/5/2019 - 4/11/2019,97,-0.0049,0.004,-0.71,-0.590916491,0.088347581
4/12/2019 - 4/18/2019,98,0.003,-0.006,-0.7,0.027625346,-0.733129926
4/19/2019 - 4/25/2019,145,0.0047,0.008,-0.04,0.160729286,0.416938584
4/26/2019 - 5/2/2019,144,-0.0085,-0.003,-0.06,-0.872783657,-0.486686674
5/3/2019 - 5/9/2019,135,0.0029,0.008,-0.18,0.019795702,0.416938584
5/10/2019 - 5/16/2019,204,0.0197,0.019,0.78,1.335175811,1.320563842
5/17/2019 - 5/23/2019,131,-0.0018,-0.002,-0.24,-0.348197542,-0.404538923
5/24/2019 - 5/30/2019,115,-0.0121,-0.014,-0.46,-1.154650823,-1.390311932
5/31/2019 - 6/6/2019,106,0.0146,0.015,-0.59,0.935863993,0.991972839
6/7/2019 - 6/13/2019,142,0.0036,0.002,-0.08,0.074603207,-0.07594792
6/14/2019 - 6/20/2019,121,0.0135,0.008,-0.38,0.849737914,0.416938584
6/21/2019 - 6/27/2019,114,-0.0102,-0.015,-0.48,-1.005887597,-1.472459683
6/28/2019 - 7/4/2019,85,0.004,0.01,-0.88,0.105921781,0.581234085
7/5/2019 - 7/11/2019,152,0.0085,0.007,0.06,0.458255739,0.334790833
7/12/2019 - 7/18/2019,183,0.0038,-0.003,0.49,0.090262494,-0.486686674
7/19/2019 - 7/25/2019,167,-0.0028,-0.001,0.27,-0.426493977,-0.322391173
7/26/2019 - 8/1/2019,140,-0.021,-0.016,-0.11,-1.851489095,-1.554607433
8/2/2019 - 8/8/2019,105,0.0049,0.008,-0.6,0.176388573,0.416938584
8/9/2019 - 8/15/2019,141,-0.0156,-0.015,-0.1,-1.428688346,-1.472459683
8/16/2019 - 8/22/2019,163,0.0092,0.003,0.21,0.513063243,0.00619983
8/23/2019 - 8/29/2019,180,-0.0087,-0.012,0.45,-0.888442944,-1.22601643
8/30/2019 - 9/5/2019,229,0.0009,0.004,1.13,-0.136797168,0.088347581
9/6/2019 - 9/12/2019,183,0.0102,0.006,0.49,0.591359678,0.252643082
9/13/2019 - 9/19/2019,150,0.0006,0.003,0.03,-0.160286098,0.00619983
9/20/2019 - 9/26/2019,179,-0.0112,-0.011,0.43,-1.084184032,-1.14386868
9/27/2019 - 10/3/2019,236,-0.0252,-0.024,1.23,-2.180334123,-2.211789439
10/4/2019 - 10/10/2019,275,0.0145,0.01,1.78,0.928034349,0.581234085
10/11/2019 - 10/17/2019,210,0.0142,0.008,0.87,0.904545419,0.416938584
10/18/2019 - 10/24/2019,220,-0.0153,-0.003,1.01,-1.405199416,-0.486686674
10/25/2019 - 10/31/2019,218,0.0061,0.007,0.98,0.270344295,0.334790833
11/1/2019 - 11/7/2019,216,0.0121,0.003,0.95,0.740122905,0.00619983
11/8/2019 - 11/14/2019,230,0.0102,0.012,1.15,0.591359678,0.745529587
11/15/2019 - 11/21/2019,243,-0.0019,-0.001,1.33,-0.356027186,-0.322391173
11/22/2019 - 11/28/2019,152,0.0086,0.01,0.06,0.466085382,0.581234085
11/29/2019 - 12/5/2019,150,-0.015,-0.008,0.03,-1.381710485,-0.897425428
12/6/2019 - 12/12/2019,425,0.0128,0.012,3.88,0.79493041,0.745529587
12/13/2019 - 12/19/2019,297,0.0052,0.005,2.08,0.199877503,0.170495332
12/20/2019 - 12/26/2019,146,-0.0024,0.001,-0.03,-0.395175403,-0.158095671
12/27/2019 - 1/1/2020,129,-0.0034,-0.003,-0.27,-0.473471838,-0.486686674
