Week of,Weekly#ofTweets,TweetsBWeekChg(%),SPBWeekChg(%),SPWWeekChg(%),DJBWeekChg(%),DJWWeekChg(%),WeeklySPVolume,WeeklyDJVolume
12/26/2015 - 1/1/2016,12,100%,0,0,0,0,0,0
1/2/2016 - 1/8/2016,86,617%,-5.5%,9.4%,-6.1%,10.0%,3818130496,692397904
1/9/2016 - 1/15/2016,80,-7%,-2.5%,12.7%,-2.3%,11.5%,4525509824,797047248
1/16/2016 - 1/22/2016,104,30%,0.7%,9.2%,0.5%,8.5%,3618267456,627316976
1/23/2016 - 1/29/2016,136,31%,1.6%,9.3%,2.1%,9.1%,4305164800,729834984
1/30/2016 - 2/5/2016,78,-43%,-2.8%,9.2%,-1.5%,8.9%,4128845888,653090112
2/6/2016 - 2/12/2016,93,19%,-0.4%,9.5%,-1.1%,9.8%,4390405504,720882112
2/13/2016 - 2/19/2016,112,20%,2.3%,4.6%,2.1%,4.3%,3252735808,505453048
2/20/2016 - 2/26/2016,123,10%,1.3%,6.7%,1.3%,7.3%,3212881728,486701624
2/27/2016 - 3/4/2016,122,-1%,2.6%,6.3%,2.2%,5.7%,3723577344,533811072
3/5/2016 - 3/11/2016,98,-20%,1.1%,5.6%,1.3%,5.4%,3269602496,566387816
3/12/2016 - 3/18/2016,92,-6%,1.8%,4.0%,2.3%,4.5%,4099171328,747169808
3/19/2016 - 3/25/2016,90,-2%,-0.2%,2.6%,-0.2%,2.4%,2233437696,348213696
3/26/2016 - 4/1/2016,71,-21%,1.8%,4.5%,1.7%,4.3%,2835832512,443490800
4/2/2016 - 4/8/2016,44,-38%,-1.1%,2.4%,-0.9%,2.3%,1733863008,280456880
4/9/2016 - 4/15/2016,56,27%,1.2%,3.9%,1.5%,3.9%,3065375808,482547696
4/16/2016 - 4/22/2016,54,-4%,0.5%,3.7%,0.6%,3.8%,3102379136,516570056
4/23/2016 - 4/29/2016,81,50%,-0.9%,4.3%,-1.1%,4.5%,3396572416,523190224
4/30/2016 - 5/6/2016,66,-19%,-0.1%,4.2%,-0.1%,4.2%,3051753728,433791544
5/7/2016 - 5/13/2016,62,-6%,-0.7%,4.6%,-1.2%,5.2%,2822298272,424044120
5/14/2016 - 5/20/2016,102,65%,0.6%,5.4%,0.1%,5.6%,3100214080,478531288
5/21/2016 - 5/27/2016,35,-66%,0.9%,1.5%,0.8%,1.6%,1544391072,221355072
5/28/2016 - 6/3/2016,68,94%,0.2%,3.1%,-0.1%,3.4%,2657459520,383809488
6/4/2016 - 6/10/2016,69,1%,0.2%,2.8%,0.6%,2.8%,2601050272,382147776
6/11/2016 - 6/17/2016,30,-57%,-0.1%,2.9%,0.1%,3.1%,2429397504,434821352
6/18/2016 - 6/24/2016,51,70%,-1.8%,6.8%,-2.0%,6.7%,3584156544,611197984
6/25/2016 - 7/1/2016,65,27%,2.7%,6.8%,2.8%,6.0%,3738298048,572555704
7/2/2016 - 7/8/2016,68,5%,1.4%,4.0%,1.1%,3.9%,2444089728,371716296
7/9/2016 - 7/15/2016,49,-28%,0.9%,2.9%,1.5%,2.8%,2801847904,462808160
7/16/2016 - 7/22/2016,80,63%,0.6%,2.4%,0.3%,2.2%,2582678752,429328312
7/23/2016 - 7/29/2016,138,73%,0.0%,3.1%,-0.6%,3.0%,3067086656,472986696
7/30/2016 - 8/5/2016,119,-14%,0.3%,3.2%,0.4%,3.0%,2768048608,408672308
8/6/2016 - 8/12/2016,83,-30%,-0.1%,2.1%,0.1%,2.3%,2251546496,327742460
8/13/2016 - 8/19/2016,46,-45%,0.2%,2.1%,0.1%,2.3%,2516720288,364885608
8/20/2016 - 8/26/2016,65,41%,-0.8%,3.1%,-1.0%,3.1%,2355880992,362920932
8/27/2016 - 9/2/2016,39,-40%,0.3%,3.0%,0.3%,3.0%,2562461376,380795768
9/3/2016 - 9/9/2016,46,18%,-1.7%,3.2%,-1.5%,2.9%,2344353600,351095080
9/10/2016 - 9/16/2016,58,26%,1.3%,6.5%,0.9%,6.3%,4020127680,687566360
9/17/2016 - 9/23/2016,36,-38%,0.5%,2.9%,0.2%,3.2%,2139629760,332414920
9/24/2016 - 9/30/2016,97,169%,0.2%,4.6%,0.3%,5.2%,3035795872,508664712
10/1/2016 - 10/7/2016,72,-26%,-0.2%,2.0%,0.0%,2.2%,1737787840,237551920
10/8/2016 - 10/14/2016,110,53%,-0.8%,3.6%,-0.6%,3.6%,2050132672,316126256
10/15/2016 - 10/21/2016,172,56%,-0.1%,2.6%,-0.1%,2.8%,2726621472,446758072
10/22/2016 - 10/28/2016,99,-42%,-0.8%,3.2%,-0.1%,3.4%,2873613152,450132016
10/29/2016 - 11/4/2016,46,-54%,-1.0%,2.4%,-0.8%,1.8%,1862628096,264321128
11/5/2016 - 11/11/2016,58,26%,3.5%,6.7%,4.9%,6.8%,3891145920,618119240
11/12/2016 - 11/18/2016,21,-64%,0.7%,1.9%,0.1%,1.7%,2493227008,387925312
11/19/2016 - 11/25/2016,24,14%,0.9%,1.5%,1.0%,1.3%,1688465056,243728136
11/26/2016 - 12/2/2016,43,79%,-0.9%,2.9%,0.4%,2.0%,3525274240,528288664
12/3/2016 - 12/9/2016,37,-14%,2.5%,3.5%,2.5%,3.9%,3052422656,464241160
12/10/2016 - 12/16/2016,40,8%,-0.4%,3.8%,-0.1%,3.2%,4018860544,669313600
12/17/2016 - 12/23/2016,31,-23%,0.2%,1.5%,0.5%,1.4%,2194429216,363140144
12/24/2016 - 12/30/2016,22,-29%,-1.4%,2.7%,-1.1%,2.1%,1557861376,264286584
12/31/2016 - 1/6/2017,54,145%,1.0%,2.6%,0.5%,2.7%,2254947200,329153360
1/7/2017 - 1/13/2017,47,-13%,0.1%,2.6%,-0.3%,2.9%,2627518304,419458704
1/14/2017 - 1/20/2017,56,19%,-0.2%,2.0%,-0.5%,2.2%,2336772928,394660640
1/21/2017 - 1/27/2017,38,-32%,0.6%,2.5%,1.1%,2.3%,2790991360,438069424
1/28/2017 - 2/3/2017,41,8%,0.3%,3.0%,0.0%,3.1%,3064186944,478861200
2/4/2017 - 2/10/2017,48,17%,0.7%,2.2%,0.9%,2.3%,2615875488,386258968
2/11/2017 - 2/17/2017,52,8%,1.6%,2.8%,1.8%,2.7%,2787360512,486168736
2/18/2017 - 2/24/2017,21,-60%,0.8%,2.0%,1.0%,1.8%,2244260800,346118176
2/25/2017 - 3/3/2017,31,48%,0.3%,2.6%,0.2%,2.7%,2912249728,446821944
3/4/2017 - 3/10/2017,35,13%,-0.3%,2.6%,-0.6%,2.4%,2597195904,403697568
3/11/2017 - 3/17/2017,32,-9%,0.1%,2.4%,-0.2%,2.2%,3557782016,594340580
3/18/2017 - 3/24/2017,26,-19%,-1.7%,4.3%,-1.7%,3.9%,2783517536,426872608
3/25/2017 - 3/31/2017,37,42%,1.7%,3.4%,1.2%,3.0%,2595942976,404700712
4/1/2017 - 4/7/2017,27,-27%,-0.4%,3.7%,-0.2%,3.7%,2675256960,363024216
4/8/2017 - 4/14/2017,28,4%,-0.9%,2.7%,-0.8%,2.6%,1881377984,269060424
4/15/2017 - 4/21/2017,33,18%,0.6%,3.4%,0.8%,3.8%,2564344288,406303932
4/22/2017 - 4/28/2017,54,64%,0.0%,2.1%,0.1%,2.0%,2911946944,433733160
4/29/2017 - 5/5/2017,40,-26%,0.4%,2.0%,0.2%,2.3%,2677722080,395161088
5/6/2017 - 5/12/2017,45,13%,-0.2%,1.9%,-0.2%,2.0%,2440016192,378050056
5/13/2017 - 5/19/2017,20,-56%,0.0%,3.8%,0.0%,3.8%,2981112704,515002744
5/20/2017 - 5/26/2017,21,5%,0.8%,1.6%,0.7%,1.5%,2304586208,342112500
5/27/2017 - 6/2/2017,54,157%,0.8%,1.9%,0.6%,1.9%,2503426848,373928616
6/3/2017 - 6/9/2017,37,-31%,-0.3%,2.2%,0.2%,1.6%,2194954720,346198380
6/10/2017 - 6/16/2017,42,14%,0.6%,2.5%,0.9%,2.1%,3874092032,683392136
6/17/2017 - 6/23/2017,58,38%,-0.2%,2.3%,-0.1%,1.9%,3135331712,471002040
6/24/2017 - 6/30/2017,60,3%,-1.6%,4.0%,-1.1%,3.5%,2809825440,425832912
7/1/2017 - 7/7/2017,47,-22%,-0.1%,2.2%,0.1%,2.2%,1921389728,298144768
7/8/2017 - 7/14/2017,62,32%,0.9%,2.5%,1.0%,2.6%,2372679424,360170880
7/15/2017 - 7/21/2017,39,-37%,0.7%,1.7%,0.1%,1.9%,2410441344,398556296
7/22/2017 - 7/28/2017,77,97%,-0.4%,2.1%,0.2%,2.0%,2940314112,426886536
7/29/2017 - 8/4/2017,52,-32%,-0.5%,1.9%,0.4%,1.4%,2771389696,419788944
8/5/2017 - 8/11/2017,63,21%,-0.7%,3.1%,-0.6%,2.0%,2359337504,353391660
8/12/2017 - 8/18/2017,67,6%,-1.2%,3.5%,-1.2%,2.8%,2475154688,415274976
8/19/2017 - 8/25/2017,61,-9%,0.4%,2.8%,0.4%,2.5%,2214350752,357580712
8/26/2017 - 9/1/2017,50,-18%,1.4%,2.7%,0.8%,2.3%,2288464320,409518824
9/2/2017 - 9/8/2017,52,4%,-0.6%,2.1%,-0.8%,2.2%,2111484512,342696800
9/9/2017 - 9/15/2017,51,-2%,1.1%,1.7%,1.3%,1.8%,3467426112,625396968
9/16/2017 - 9/22/2017,78,53%,0.1%,1.6%,0.3%,1.5%,2471953376,420721888
9/23/2017 - 9/29/2017,86,10%,0.5%,2.3%,0.3%,2.3%,2558587904,439280440
9/30/2017 - 10/6/2017,72,-16%,1.2%,1.7%,1.5%,2.0%,2238859648,331595536
10/7/2017 - 10/13/2017,77,7%,-0.2%,1.6%,0.2%,1.4%,2360121408,390908904
10/14/2017 - 10/20/2017,69,-10%,0.8%,1.5%,1.6%,2.0%,2411442560,410150140
10/21/2017 - 10/27/2017,68,-1%,-0.4%,2.7%,-0.2%,2.6%,2842900832,517218032
10/28/2017 - 11/3/2017,85,25%,-0.1%,2.3%,-0.1%,2.4%,2850736384,474590768
11/4/2017 - 11/10/2017,54,-36%,0.4%,2.3%,-0.1%,2.1%,2668517472,405629504
11/11/2017 - 11/17/2017,53,-2%,0.5%,2.5%,0.2%,2.4%,2653487680,530074952
11/18/2017 - 11/24/2017,43,-19%,0.4%,1.1%,0.4%,1.5%,1598001600,280292548
11/25/2017 - 12/1/2017,71,65%,1.1%,4.3%,2.0%,4.7%,3389982944,571106808
12/2/2017 - 12/8/2017,46,-35%,-0.4%,3.0%,-0.7%,3.3%,2906318144,489611776
12/9/2017 - 12/15/2017,40,-13%,0.3%,2.4%,0.4%,2.4%,3799557568,682732360
12/16/2017 - 12/22/2017,50,25%,-0.6%,2.1%,-0.6%,2.3%,2601450016,486007400
12/23/2017 - 12/29/2017,39,-22%,-0.5%,1.3%,-0.3%,1.3%,1402363456,270911272
12/30/2017 - 1/5/2018,51,31%,1.6%,2.1%,1.5%,2.3%,2150233408,407622400
1/6/2018 - 1/12/2018,56,10%,1.4%,2.5%,1.6%,2.8%,2646804224,468732456
1/13/2018 - 1/19/2018,61,9%,-0.1%,3.3%,-0.1%,3.8%,2691256064,598775376
1/20/2018 - 1/26/2018,43,-30%,1.4%,3.8%,1.5%,3.9%,2882014080,578244496
1/27/2018 - 2/2/2018,18,-58%,-2.3%,4.2%,-2.7%,5.0%,2695441024,503505792
2/3/2018 - 2/9/2018,36,100%,-3.8%,18.2%,-3.8%,21.4%,4723393920,967293760
2/10/2018 - 2/16/2018,32,-11%,4.0%,7.6%,3.8%,7.5%,3170350016,600780432
2/17/2018 - 2/23/2018,64,100%,0.0%,5.3%,0.1%,5.4%,2194235808,416201848
2/24/2018 - 3/2/2018,53,-17%,-2.9%,7.8%,-4.1%,8.2%,2756470528,510621304
3/3/2018 - 3/9/2018,35,-34%,3.5%,5.7%,3.0%,7.0%,2854797888,491744168
3/10/2018 - 3/16/2018,51,46%,-2.3%,4.6%,-2.6%,6.6%,3975373056,752888296
3/17/2018 - 3/23/2018,34,-33%,-5.1%,8.0%,-5.3%,8.6%,3138394624,574188272
3/24/2018 - 3/30/2018,29,-15%,0.2%,8.5%,0.3%,8.2%,2790424704,596438704
3/31/2018 - 4/6/2018,46,59%,-0.1%,11.3%,1.2%,12.1%,3136200832,600319368
4/7/2018 - 4/13/2018,52,13%,0.1%,5.6%,0.1%,6.7%,2637322208,485289816
4/14/2018 - 4/20/2018,79,52%,-0.4%,4.1%,-0.5%,4.0%,2734396352,509908496
4/21/2018 - 4/27/2018,61,-23%,-1.4%,6.4%,-1.7%,7.1%,2845325280,547060008
4/28/2018 - 5/4/2018,55,-10%,0.4%,7.2%,0.2%,8.1%,2968898784,536398336
5/5/2018 - 5/11/2018,40,-27%,1.8%,3.8%,1.7%,4.3%,2596178560,432473152
5/12/2018 - 5/18/2018,55,38%,-0.2%,2.9%,-0.3%,3.0%,2576989248,412504960
