Date,Open,High,Low,Close,Volume
12/31/2015,17590.66,17590.66,17421.16,17425.03,93717456
1/4/2016,17405.48,17405.48,16957.63,17148.94,148086160
1/5/2016,17147.5,17195.84,17038.61,17158.66,105776304
1/6/2016,17154.83,17154.83,16817.62,16906.51,120277408
1/7/2016,16888.36,16888.36,16463.63,16514.1,176387328
1/8/2016,16519.17,16651.89,16314.57,16346.45,141870704
1/11/2016,16358.71,16461.85,16232.03,16398.57,127810880
1/12/2016,16419.11,16591.35,16322.07,16516.22,117483392
1/13/2016,16526.63,16593.51,16123.2,16151.41,153555152
1/14/2016,16159.01,16482.05,16075.12,16379.05,158927776
1/15/2016,16354.33,16354.33,15842.11,15988.08,239270048
1/19/2016,16009.45,16171.96,15900.25,16016.02,144397520
1/20/2016,15989.45,15989.45,15450.56,15766.74,191876384
1/21/2016,15768.87,16038.59,15704.66,15882.68,145166176
1/22/2016,15921.1,16136.79,15921.1,16093.51,145876896
1/25/2016,16086.46,16086.46,15880.15,15885.22,123267712
1/26/2016,15893.16,16185.79,15893.16,16167.23,119502528
1/27/2016,16168.74,16235.03,15878.3,15944.46,138431424
1/28/2016,15960.28,16102.14,15863.72,16069.64,130651944
1/29/2016,16090.26,16466.3,16090.26,16466.3,217981376
2/1/2016,16453.63,16510.98,16299.47,16449.18,114464128
2/2/2016,16420.21,16420.21,16108.44,16153.54,126231064
2/3/2016,16186.2,16381.69,15960.45,16336.66,141877984
2/4/2016,16329.67,16485.84,16266.16,16416.58,131491944
2/5/2016,16417.95,16423.63,16129.81,16204.97,139024992
2/8/2016,16147.51,16147.51,15803.55,16027.05,165892704
2/9/2016,16005.41,16136.62,15881.11,16014.38,127739760
2/10/2016,16035.61,16201.89,15899.91,15914.74,122604352
2/11/2016,15897.82,15897.82,15503.01,15660.18,172078880
2/12/2016,15691.62,15974.04,15691.62,15973.84,132566416
2/16/2016,16012.39,16196.41,16012.39,16196.41,142042784
2/17/2016,16217.98,16486.12,16217.98,16453.83,124094656
2/18/2016,16483.76,16511.84,16390.43,16413.43,104960968
2/19/2016,16410.96,16410.96,16278,16391.99,134354640
2/22/2016,16417.13,16664.24,16417.13,16620.66,102245720
2/23/2016,16610.39,16610.39,16403.53,16431.78,98167376
2/24/2016,16418.84,16507.39,16165.86,16484.99,93666968
2/25/2016,16504.38,16697.98,16458.42,16697.29,94129856
2/26/2016,16712.7,16795.98,16623.91,16639.97,98491704
2/29/2016,16634.15,16726.12,16510.4,16516.5,126224808
3/1/2016,16545.67,16865.56,16545.67,16865.08,105053952
3/2/2016,16851.17,16900.17,16766.32,16899.32,104481208
3/3/2016,16896.17,16944.31,16820.73,16943.9,91123696
3/4/2016,16945,17062.38,16898.84,17006.77,106927408
3/7/2016,16991.29,17099.25,16940.48,17073.95,100297344
3/8/2016,17050.67,17072.79,16921.51,16964.1,108383352
3/9/2016,16969.17,17048.5,16947.94,17000.36,116695088
3/10/2016,17006.05,17130.11,16821.86,16995.13,117576032
3/11/2016,17014.99,17220.09,17014.99,17213.31,123436000
3/14/2016,17207.49,17275.07,17161.16,17229.13,96350576
3/15/2016,17217.15,17251.7,17120.35,17251.53,92833552
3/16/2016,17249.34,17379.18,17204.07,17325.76,118732824
3/17/2016,17321.38,17529.01,17297.65,17481.49,118004280
3/18/2016,17487.93,17620.58,17486.08,17602.3,321248576
3/21/2016,17589.7,17644.97,17551.28,17623.87,84409992
3/22/2016,17602.71,17648.94,17540.42,17582.57,95462096
3/23/2016,17588.81,17588.81,17486.27,17502.59,84238504
3/24/2016,17485.33,17517.14,17399.01,17515.73,84103104
3/28/2016,17526.08,17583.81,17493.03,17535.39,70463120
3/29/2016,17512.58,17642.81,17434.27,17633.11,86166176
3/30/2016,17652.36,17790.11,17652.36,17716.66,79334752
3/31/2016,17716.05,17755.7,17669.72,17685.09,102601440
4/1/2016,17661.74,17811.48,17568.02,17792.75,104925312
4/4/2016,17799.39,17806.38,17710.67,17737,85236760
4/5/2016,17718.03,17718.03,17579.56,17603.32,115225880
4/6/2016,17605.45,17723.55,17542.54,17716.05,99425440
4/7/2016,17687.28,17687.28,17484.23,17541.96,90130968
4/8/2016,17555.39,17694.51,17528.16,17576.96,79994240
4/11/2016,17586.48,17731.63,17555.9,17556.41,107111864
4/12/2016,17571.34,17744.43,17553.57,17721.25,81018048
4/13/2016,17741.66,17918.35,17741.66,17908.28,91710448
4/14/2016,17912.25,17962.14,17885.51,17926.43,84513696
4/15/2016,17925.95,17937.65,17867.41,17897.46,118193640
4/18/2016,17890.2,18009.53,17848.22,18004.16,89410040
4/19/2016,18012.1,18103.46,17984.43,18053.6,89923976
4/20/2016,18059.49,18167.63,18031.21,18096.27,100267016
4/21/2016,18092.84,18107.29,17963.89,17982.52,102843736
4/22/2016,17985.05,18026.85,17909.89,18003.75,134125288
4/25/2016,17990.94,17990.94,17855.55,17977.24,83770456
4/26/2016,17987.38,18043.77,17934.17,17990.32,92674112
4/27/2016,17996.14,18084.66,17920.26,18041.55,109131992
4/28/2016,18023.88,18035.73,17796.55,17830.76,100929104
4/29/2016,17813.09,17814.83,17651.98,17773.64,136684560
5/2/2016,17783.78,17912.35,17773.71,17891.16,80127080
5/3/2016,17870.75,17870.75,17670.88,17750.91,97076136
5/4/2016,17735.02,17738.06,17609.01,17651.26,95022480
5/5/2016,17664.48,17736.11,17615.82,17660.71,81533560
5/6/2016,17650.3,17744.54,17580.38,17740.63,80032288
5/9/2016,17743.85,17783.16,17668.38,17705.91,85600584
5/10/2016,17726.66,17934.61,17726.66,17928.35,75795032
5/11/2016,17919.03,17919.03,17711.05,17711.12,87401120
5/12/2016,17722.01,17798.19,17625.38,17720.5,88590728
5/13/2016,17711.12,17734.74,17512.48,17535.32,86656656
5/16/2016,17531.76,17755.8,17531.76,17710.71,88441136
5/17/2016,17701.46,17701.46,17469.92,17529.98,103263568
5/18/2016,17501.28,17636.22,17418.21,17526.62,79282448
5/19/2016,17514.16,17514.16,17331.07,17435.4,95532192
5/20/2016,17437.32,17571.75,17437.32,17500.94,112011944
5/23/2016,17507.04,17550.7,17480.05,17492.93,87792376
5/24/2016,17525.19,17742.59,17525.19,17706.05,86496160
5/25/2016,17735.09,17891.71,17735.09,17851.51,79192400
5/26/2016,17859.52,17888.66,17803.82,17828.29,68942776
5/27/2016,17826.85,17873.22,17824.73,17873.22,73219896
5/31/2016,17891.5,17899.24,17724.03,17787.2,147415952
6/1/2016,17754.55,17809.18,17664.79,17789.67,78538656
6/2/2016,17789.05,17838.56,17703.55,17838.56,75564072
6/3/2016,17799.8,17833.17,17689.68,17807.06,82290808
6/6/2016,17825.69,17949.68,17822.81,17920.33,71886480
6/7/2016,17936.22,18003.23,17936.22,17938.28,78762584
6/8/2016,17931.91,18016,17931.91,18005.05,71261896
6/9/2016,17969.98,18005.22,17915.88,17985.19,69687632
6/10/2016,17938.82,17938.82,17812.34,17865.34,90549184
6/13/2016,17830.5,17893.28,17731.35,17732.48,101700744
6/14/2016,17710.77,17733.92,17595.79,17674.82,93753640
6/15/2016,17703.65,17762.96,17629.01,17640.17,94147480
6/16/2016,17602.23,17754.91,17471.29,17733.1,91949264
6/17/2016,17733.44,17733.44,17602.78,17675.16,248724608
6/20/2016,17736.87,17946.36,17736.87,17804.87,99384640
6/21/2016,17827.33,17877.84,17799.8,17829.73,85200032
6/22/2016,17832.67,17920.16,17770.36,17780.83,89460072
6/23/2016,17844.11,18011.07,17844.11,18011.07,98139928
6/24/2016,17946.63,17946.63,17356.34,17400.75,239013312
6/27/2016,17355.21,17355.21,17063.08,17140.24,138755824
6/28/2016,17190.51,17409.72,17190.51,17409.72,112209080
6/29/2016,17456.02,17704.51,17456.02,17694.68,106378688
6/30/2016,17712.76,17930.61,17711.8,17929.99,133033352
7/1/2016,17924.24,18002.38,17916.91,17949.37,82178760
7/5/2016,17904.45,17904.45,17785.28,17840.62,103671712
7/6/2016,17807.47,17926.91,17713.45,17918.62,93003920
7/7/2016,17924.24,17984.95,17816.65,17895.88,81577176
7/8/2016,17971.22,18166.77,17971.22,18146.74,93463488
7/11/2016,18161.53,18283.9,18161.53,18226.93,80887408
7/12/2016,18259.12,18371.95,18259.12,18347.67,90229552
7/13/2016,18356.78,18390.16,18315.76,18372.12,80919024
7/14/2016,18414.3,18537.57,18414.3,18506.41,87063160
7/15/2016,18508.88,18557.43,18471.62,18516.55,123709016
7/18/2016,18521.55,18556.13,18489.84,18533.05,75546344
7/19/2016,18503.12,18562.53,18495.11,18559.01,85952824
7/20/2016,18582.7,18622.01,18555.65,18595.03,93292360
7/21/2016,18589.96,18590.44,18469.67,18517.23,86818656
7/22/2016,18524.15,18571.3,18491.59,18570.85,87718128
7/25/2016,18554.49,18555.69,18452.62,18493.06,76821696
7/26/2016,18497.37,18522.47,18387.22,18473.75,87391512
7/27/2016,18473.27,18542.39,18430.94,18472.17,111391224
7/28/2016,18461.01,18483.26,18368.82,18456.35,85806728
7/29/2016,18442.52,18466.55,18371.12,18432.24,111575536
8/1/2016,18434.5,18467.03,18355.75,18404.51,83474616
8/2/2016,18401.15,18403.65,18247.79,18313.77,89688592
8/3/2016,18313.08,18355,18283.23,18355,78571824
8/4/2016,18351.43,18397.87,18325.17,18352.05,64511692
8/5/2016,18402.8,18543.53,18402.8,18543.53,92425584
8/8/2016,18540.65,18569.31,18502.03,18529.29,71807280
8/9/2016,18538.05,18585.32,18507.75,18533.05,60093820
8/10/2016,18541.48,18561.75,18468.78,18495.66,62778144
8/11/2016,18519.08,18638.34,18519.08,18613.52,71478384
8/12/2016,18595.65,18606.06,18535.86,18576.47,61584832
8/15/2016,18588.59,18668.44,18588.59,18636.05,62365944
8/16/2016,18614.48,18614.86,18550.65,18552.02,67571400
8/17/2016,18537.09,18582.35,18468.68,18573.94,71015576
8/18/2016,18566.54,18600.82,18533.29,18597.7,70763480
8/19/2016,18585.17,18585.17,18491.24,18552.57,93169208
8/22/2016,18535.86,18570.92,18466.86,18529.42,73454184
8/23/2016,18568.94,18631.6,18545.52,18547.3,73988184
8/24/2016,18537.5,18539.15,18448.27,18481.48,72267968
8/25/2016,18471.21,18497.68,18431.46,18448.41,64482596
8/26/2016,18467.92,18572.09,18335.34,18395.4,78728000
8/29/2016,18421.29,18523.09,18419.92,18502.99,64482808
8/30/2016,18491.28,18514.29,18408.52,18454.3,68916112
8/31/2016,18436.7,18439.68,18333.56,18400.88,98255088
9/1/2016,18396.57,18430.05,18295.48,18419.3,74784608
9/2/2016,18466.01,18544.76,18439.1,18491.96,74357152
9/6/2016,18493.4,18551.54,18450.32,18538.12,83719656
9/7/2016,18527.71,18536.89,18474.77,18526.14,67589760
9/8/2016,18486.69,18506.24,18446.69,18479.91,79075296
9/9/2016,18404.17,18404.17,18085.45,18085.45,120710368
9/12/2016,18028.95,18358.69,17994.84,18325.07,103256048
9/13/2016,18262.99,18262.99,18028.06,18066.75,102831352
9/14/2016,18073.39,18163.48,17992.21,18034.77,103376152
9/15/2016,18024.91,18250.11,18015.49,18212.48,99565080
9/16/2016,18217.21,18217.21,18070.21,18123.8,278537728
9/19/2016,18154.82,18254.88,18093.05,18120.17,78088968
