,Date,USD,CNY
191,2018-12-31,1.145,7.8751
171,2019-01-02,1.1397,7.8165
238,2019-01-03,1.1348,7.8019
29,2019-01-04,1.1403,7.828
218,2019-01-07,1.1445,7.8421
150,2019-01-08,1.144,7.8405
59,2019-01-09,1.1455,7.8226
9,2019-01-10,1.1535,7.8213
163,2019-01-11,1.1533,7.7922
140,2019-01-14,1.1467,7.7595
137,2019-01-15,1.1424,7.723
65,2019-01-16,1.1389,7.7018
242,2019-01-17,1.1396,7.7167
181,2019-01-18,1.1402,7.7291
155,2019-01-21,1.1362,7.7238
74,2019-01-22,1.1354,7.7299
228,2019-01-23,1.1367,7.7147
160,2019-01-24,1.1341,7.7041
103,2019-01-25,1.1346,7.6699
72,2019-01-28,1.1418,7.6997
236,2019-01-29,1.1422,7.6927
5,2019-01-30,1.1429,7.6767
199,2019-01-31,1.1488,7.701
44,2019-02-01,1.1471,7.7262
220,2019-02-04,1.1445,7.7194
0,2019-02-05,1.1423,7.6938
138,2019-02-06,1.1394,7.685
114,2019-02-07,1.1345,7.652
239,2019-02-08,1.1346,7.6527
7,2019-02-11,1.1309,7.6781
212,2019-02-12,1.1296,7.6477
206,2019-02-13,1.1305,7.6474
232,2019-02-14,1.1268,7.6347
73,2019-02-15,1.126,7.6236
34,2019-02-18,1.1328,7.6637
224,2019-02-19,1.1294,7.6418
25,2019-02-20,1.1342,7.6244
165,2019-02-21,1.1354,7.6275
35,2019-02-22,1.1325,7.6109
147,2019-02-25,1.1355,7.5952
69,2019-02-26,1.1361,7.6077
71,2019-02-27,1.1386,7.6073
55,2019-02-28,1.1416,7.6309
12,2019-03-01,1.1383,7.6332
83,2019-03-04,1.1337,7.5985
151,2019-03-05,1.1329,7.5939
81,2019-03-06,1.1305,7.5857
252,2019-03-07,1.1271,7.5622
32,2019-03-08,1.1222,7.5451
253,2019-03-11,1.1244,7.5612
245,2019-03-12,1.1275,7.5643
76,2019-03-13,1.1303,7.5818
157,2019-03-14,1.1295,7.5984
170,2019-03-15,1.1308,7.5922
20,2019-03-18,1.1349,7.6186
227,2019-03-19,1.1358,7.6237
46,2019-03-20,1.1354,7.6014
58,2019-03-21,1.1387,7.6198
243,2019-03-22,1.1302,7.5868
112,2019-03-25,1.1325,7.6015
64,2019-03-26,1.1291,7.5818
129,2019-03-27,1.1261,7.5729
175,2019-03-28,1.1218,7.5595
18,2019-03-29,1.1235,7.5397
97,2019-04-01,1.1236,7.541
61,2019-04-02,1.12,7.5265
8,2019-04-03,1.1243,7.5423
60,2019-04-04,1.1219,7.5353
139,2019-04-05,1.1233,7.5457
118,2019-04-08,1.1246,7.5561
11,2019-04-09,1.1277,7.5688
14,2019-04-10,1.1279,7.5758
183,2019-04-11,1.1264,7.5672
104,2019-04-12,1.1321,7.5939
36,2019-04-15,1.1313,7.5867
102,2019-04-16,1.1305,7.5846
200,2019-04-17,1.1301,7.5594
120,2019-04-18,1.125,7.5445
156,2019-04-23,1.1245,7.5557
226,2019-04-24,1.1209,7.5304
53,2019-04-25,1.1123,7.5047
132,2019-04-26,1.1133,7.4991
233,2019-04-29,1.115,7.5067
37,2019-04-30,1.1218,7.5541
248,2019-05-02,1.1212,7.5508
187,2019-05-03,1.1155,7.5124
38,2019-05-06,1.1199,7.5771
201,2019-05-07,1.1185,7.571
195,2019-05-08,1.1202,7.595
95,2019-05-09,1.1193,7.6374
225,2019-05-10,1.123,7.6628
119,2019-05-13,1.1245,7.7335
216,2019-05-14,1.1226,7.7252
22,2019-05-15,1.1183,7.6925
123,2019-05-16,1.1203,7.7067
93,2019-05-17,1.1172,7.7245
89,2019-05-20,1.1167,7.7228
188,2019-05-21,1.1161,7.7081
66,2019-05-22,1.1171,7.7108
167,2019-05-23,1.1139,7.7058
121,2019-05-24,1.1187,7.7206
194,2019-05-27,1.1198,7.7254
42,2019-05-28,1.1192,7.7345
254,2019-05-29,1.1156,7.7081
27,2019-05-30,1.1134,7.6903
28,2019-05-31,1.1151,7.7045
54,2019-06-03,1.1185,7.7253
15,2019-06-04,1.1244,7.7686
52,2019-06-05,1.1257,7.7754
202,2019-06-06,1.1266,7.788
211,2019-06-07,1.1273,7.7893
192,2019-06-10,1.1301,7.8365
75,2019-06-11,1.132,7.8243
208,2019-06-12,1.1323,7.8346
31,2019-06-13,1.1289,7.8144
144,2019-06-14,1.1265,7.7997
169,2019-06-17,1.1234,7.7794
153,2019-06-18,1.1187,7.7486
164,2019-06-19,1.1207,7.7378
125,2019-06-20,1.1307,7.7502
68,2019-06-21,1.1316,7.7792
178,2019-06-24,1.1394,7.8354
196,2019-06-25,1.1388,7.8347
108,2019-06-26,1.1362,7.8139
87,2019-06-27,1.137,7.8199
1,2019-06-28,1.138,7.8185
127,2019-07-01,1.1349,7.7654
207,2019-07-02,1.1301,7.7706
204,2019-07-03,1.1293,7.7703
45,2019-07-04,1.1288,7.7567
107,2019-07-05,1.126,7.7425
250,2019-07-08,1.1215,7.7173
63,2019-07-09,1.1205,7.7155
43,2019-07-10,1.122,7.7227
84,2019-07-11,1.1285,7.7477
145,2019-07-12,1.1253,7.7432
3,2019-07-15,1.1269,7.7484
251,2019-07-16,1.1223,7.7187
47,2019-07-17,1.1215,7.7131
24,2019-07-18,1.1216,7.7168
98,2019-07-19,1.1226,7.7217
184,2019-07-22,1.1215,7.7168
174,2019-07-23,1.1173,7.6856
158,2019-07-24,1.114,7.6588
143,2019-07-25,1.1115,7.6393
241,2019-07-26,1.1138,7.6609
48,2019-07-29,1.1119,7.6648
130,2019-07-30,1.1154,7.6761
177,2019-07-31,1.1151,7.6743
229,2019-08-01,1.1037,7.6177
30,2019-08-02,1.1106,7.7058
168,2019-08-05,1.1182,7.8705
106,2019-08-06,1.1187,7.8521
240,2019-08-07,1.1202,7.8957
16,2019-08-08,1.1193,7.8873
77,2019-08-09,1.1198,7.9039
99,2019-08-12,1.1194,7.9014
221,2019-08-13,1.1222,7.9303
116,2019-08-14,1.1188,7.8526
186,2019-08-15,1.115,7.8463
142,2019-08-16,1.1076,7.7978
91,2019-08-19,1.1103,7.8283
82,2019-08-20,1.1076,7.818
198,2019-08-21,1.1104,7.8438
105,2019-08-22,1.1083,7.8523
78,2019-08-23,1.1065,7.8439
217,2019-08-26,1.1116,7.9429
231,2019-08-27,1.1104,7.9519
172,2019-08-28,1.1083,7.9357
39,2019-08-29,1.1072,7.9081
205,2019-08-30,1.1036,7.8908
223,2019-09-02,1.0968,7.8657
234,2019-09-03,1.0937,7.8513
85,2019-09-04,1.1018,7.8808
244,2019-09-05,1.1058,7.8996
141,2019-09-06,1.1027,7.8442
209,2019-09-09,1.1033,7.861
190,2019-09-10,1.104,7.8445
179,2019-09-11,1.1003,7.8309
90,2019-09-12,1.0963,7.7702
256,2019-09-13,1.1096,7.8589
110,2019-09-16,1.1031,7.7957
33,2019-09-17,1.1026,7.8249
49,2019-09-18,1.1053,7.8349
197,2019-09-19,1.1067,7.8518
13,2019-09-20,1.103,7.8207
6,2019-09-23,1.0985,7.8279
51,2019-09-24,1.1003,7.8199
23,2019-09-25,1.0982,7.8239
124,2019-09-26,1.0938,7.7976
135,2019-09-27,1.0935,7.7947
176,2019-09-30,1.0889,7.7784
96,2019-10-01,1.0898,7.7903
237,2019-10-02,1.0925,7.8096
79,2019-10-03,1.0951,7.8282
122,2019-10-04,1.0979,7.8497
210,2019-10-07,1.0993,7.8582
67,2019-10-08,1.0986,7.8474
41,2019-10-09,1.0981,7.8265
219,2019-10-10,1.103,7.8567
62,2019-10-11,1.1043,7.8417
154,2019-10-14,1.1031,7.7988
131,2019-10-15,1.1007,7.7943
173,2019-10-16,1.1025,7.827
235,2019-10-17,1.1113,7.8657
101,2019-10-18,1.1144,7.8941
17,2019-10-21,1.1173,7.9025
40,2019-10-22,1.113,7.8795
213,2019-10-23,1.1123,7.8684
26,2019-10-24,1.1128,7.8704
117,2019-10-25,1.1107,7.8524
222,2019-10-28,1.1087,7.8366
133,2019-10-29,1.1095,7.8392
159,2019-10-30,1.1106,7.8371
152,2019-10-31,1.1154,7.854
126,2019-11-01,1.1139,7.844
10,2019-11-04,1.1158,7.8425
247,2019-11-05,1.1109,7.7734
56,2019-11-06,1.109,7.7604
246,2019-11-07,1.1077,7.7271
70,2019-11-08,1.1034,7.7115
203,2019-11-11,1.1041,7.7404
161,2019-11-12,1.1015,7.7187
136,2019-11-13,1.1006,7.7281
193,2019-11-14,1.0997,7.721
92,2019-11-15,1.1034,7.7343
166,2019-11-18,1.1061,7.7629
115,2019-11-19,1.1077,7.7829
255,2019-11-20,1.1059,7.7786
215,2019-11-21,1.1091,7.7933
109,2019-11-22,1.1058,7.7834
4,2019-11-25,1.1008,7.7454
86,2019-11-26,1.102,7.7576
249,2019-11-27,1.1009,7.7353
50,2019-11-28,1.1005,7.7416
57,2019-11-29,1.0982,7.7172
80,2019-12-02,1.1023,7.7625
180,2019-12-03,1.1071,7.814
162,2019-12-04,1.1081,7.8149
88,2019-12-05,1.1094,7.8125
148,2019-12-06,1.1094,7.7993
94,2019-12-09,1.1075,7.796
149,2019-12-10,1.1077,7.7968
214,2019-12-11,1.1075,7.796
189,2019-12-12,1.1137,7.8374
182,2019-12-13,1.1174,7.79
230,2019-12-16,1.1146,7.8025
19,2019-12-17,1.1162,7.809
146,2019-12-18,1.1115,7.7783
128,2019-12-19,1.1117,7.7931
185,2019-12-20,1.1097,7.7764
21,2019-12-23,1.1075,7.7652
134,2019-12-24,1.108,7.7643
111,2019-12-27,1.1153,7.8025
2,2019-12-30,1.1189,7.8175
100,2019-12-31,1.1234,7.8205
113,2020-01-02,1.1193,7.7946
