Date,Open,High,Low,Close,Volume
12/31/2015,2060.59,2062.54,2043.62,2043.94,482631296
1/4/2016,2038.2,2038.2,1989.68,2012.66,802129536
1/5/2016,2013.78,2021.94,2004.17,2016.71,619318720
1/6/2016,2011.71,2011.71,1979.05,1990.26,734870208
1/7/2016,1985.32,1985.32,1938.83,1943.09,860961216
1/8/2016,1945.97,1960.4,1918.46,1922.03,800850816
1/11/2016,1926.12,1935.65,1901.1,1923.67,775686912
1/12/2016,1927.83,1947.38,1914.35,1938.68,759267904
1/13/2016,1940.34,1950.33,1886.41,1890.28,874626304
1/14/2016,1891.68,1934.47,1878.93,1921.84,920885632
1/15/2016,1916.68,1916.68,1857.83,1880.33,1195043072
1/19/2016,1888.66,1901.44,1864.6,1881.33,877065728
1/20/2016,1876.18,1876.18,1812.29,1859.33,1078152960
1/21/2016,1861.46,1889.85,1848.98,1868.99,853851584
1/22/2016,1877.4,1908.85,1877.4,1906.9,809197184
1/25/2016,1906.28,1906.28,1875.97,1877.08,760987392
1/26/2016,1878.79,1906.73,1878.79,1903.63,699065728
1/27/2016,1902.52,1916.99,1872.7,1882.95,804557952
1/28/2016,1885.22,1902.96,1873.65,1893.36,822107520
1/29/2016,1894,1940.24,1894,1940.24,1218446208
2/1/2016,1936.94,1947.2,1920.3,1939.38,714460224
2/2/2016,1935.26,1935.26,1897.29,1903.03,788526720
2/3/2016,1907.07,1918.01,1872.23,1912.53,893829504
2/4/2016,1911.67,1927.35,1900.52,1915.45,865640064
2/5/2016,1913.07,1913.07,1872.65,1880.05,866389376
2/8/2016,1873.25,1873.25,1828.46,1853.44,1012988672
2/9/2016,1848.46,1868.25,1834.94,1852.21,847559936
2/10/2016,1857.1,1881.6,1850.32,1851.86,766388864
2/11/2016,1847,1847,1810.1,1829.08,959752000
2/12/2016,1833.4,1864.78,1833.4,1864.78,803716032
2/16/2016,1871.44,1895.77,1871.44,1895.58,841186816
2/17/2016,1898.8,1930.68,1898.8,1926.82,818797824
2/18/2016,1927.57,1930,1915.09,1917.83,729950592
2/19/2016,1916.74,1918.78,1902.17,1917.78,862800576
2/22/2016,1924.44,1946.7,1924.44,1945.5,663536128
2/23/2016,1942.38,1942.38,1919.44,1921.27,626866688
2/24/2016,1917.56,1932.08,1891,1929.8,662368192
2/25/2016,1931.87,1951.83,1925.41,1951.7,590114752
2/26/2016,1954.95,1962.96,1945.78,1948.05,669995968
2/29/2016,1947.13,1958.27,1931.81,1932.23,849517056
3/1/2016,1937.09,1978.35,1937.09,1978.35,742732288
3/2/2016,1976.6,1986.51,1968.8,1986.45,680836864
3/3/2016,1985.6,1993.69,1977.37,1993.4,667873920
3/4/2016,1994.01,2009.13,1986.77,1999.99,782617216
3/7/2016,1996.11,2006.12,1989.38,2001.76,654499200
3/8/2016,1996.88,1996.88,1977.43,1979.26,699822912
3/9/2016,1981.44,1992.69,1979.84,1989.26,608087616
3/10/2016,1990.97,2005.08,1969.25,1989.57,665461440
3/11/2016,1994.71,2022.37,1994.71,2022.19,641731328
3/14/2016,2019.27,2024.57,2012.05,2019.64,546849792
3/15/2016,2015.27,2015.94,2005.23,2015.93,529518144
3/16/2016,2014.24,2032.02,2010.04,2027.22,617723072
3/17/2016,2026.9,2046.24,2022.16,2040.59,661846528
3/18/2016,2041.16,2052.36,2041.16,2049.58,1743233792
3/21/2016,2047.88,2053.91,2043.14,2051.6,535593472
3/22/2016,2048.64,2056.6,2040.57,2049.8,555537728
3/23/2016,2048.55,2048.55,2034.86,2036.71,542149248
3/24/2016,2032.48,2036.04,2022.49,2035.94,600157248
3/28/2016,2037.89,2042.67,2031.96,2037.05,460633984
3/29/2016,2035.75,2055.91,2028.31,2055.01,571904000
3/30/2016,2058.27,2072.21,2058.27,2063.95,511572096
3/31/2016,2063.77,2067.92,2057.46,2059.74,636649600
4/1/2016,2056.62,2075.07,2043.98,2072.78,655072832
4/4/2016,2073.19,2074.02,2062.57,2066.13,532744352
4/5/2016,2062.5,2062.5,2042.56,2045.17,666243840
4/6/2016,2045.56,2067.33,2043.09,2066.66,581334912
4/7/2016,2063.01,2063.01,2033.8,2041.91,618328704
4/8/2016,2045.54,2060.63,2041.69,2047.6,534874816
4/11/2016,2050.23,2062.93,2041.88,2041.99,586585536
4/12/2016,2043.72,2065.05,2039.74,2061.72,590880256
4/13/2016,2065.92,2083.18,2065.92,2082.42,631117120
4/14/2016,2082.89,2087.84,2078.13,2082.78,563171264
4/15/2016,2083.1,2083.22,2076.31,2080.73,693621632
4/18/2016,2078.83,2094.66,2073.65,2094.34,548081408
4/19/2016,2096.05,2104.05,2091.68,2100.8,590645248
4/20/2016,2101.52,2111.05,2096.32,2102.4,605036480
4/21/2016,2102.09,2103.78,2088.52,2091.48,652614464
4/22/2016,2091.49,2094.32,2081.2,2091.58,706001536
4/25/2016,2089.37,2089.37,2077.52,2087.79,544817664
4/26/2016,2089.84,2096.87,2085.8,2091.7,600619072
4/27/2016,2092.33,2099.89,2082.31,2095.15,674136320
4/28/2016,2090.93,2099.3,2071.62,2075.81,689625600
4/29/2016,2071.82,2073.85,2052.28,2065.3,887373760
5/2/2016,2067.17,2083.42,2066.11,2081.43,604159488
5/3/2016,2077.18,2077.18,2054.89,2063.37,635573824
5/4/2016,2060.3,2060.3,2045.55,2051.12,627049792
5/5/2016,2052.95,2060.23,2045.77,2050.63,596503936
5/6/2016,2047.77,2057.72,2039.45,2057.14,588466688
5/9/2016,2057.55,2064.15,2054.31,2058.69,557478400
5/10/2016,2062.63,2084.87,2062.63,2084.39,520496992
5/11/2016,2083.29,2083.29,2064.46,2064.46,580146240
5/12/2016,2067.17,2073.99,2053.13,2064.11,588764672
5/13/2016,2062.5,2066.79,2043.13,2046.61,575411968
5/16/2016,2046.53,2071.88,2046.53,2066.66,567350592
5/17/2016,2065.04,2065.69,2040.82,2047.21,686714880
5/18/2016,2044.38,2060.61,2034.49,2047.63,558238592
5/19/2016,2044.21,2044.21,2025.91,2040.04,590037248
5/20/2016,2041.88,2058.35,2041.88,2052.32,697872768
5/23/2016,2052.23,2055.58,2047.26,2048.04,524844096
5/24/2016,2052.65,2079.67,2052.65,2076.06,557635712
5/25/2016,2078.93,2094.73,2078.93,2090.54,561713408
5/26/2016,2091.44,2094.3,2087.08,2090.1,474150688
5/27/2016,2090.06,2099.06,2090.06,2099.06,508526976
5/31/2016,2100.13,2103.48,2088.66,2096.96,904460864
6/1/2016,2093.94,2100.97,2085.1,2099.33,556871680
6/2/2016,2097.71,2105.26,2088.59,2105.26,628071040
6/3/2016,2104.07,2104.07,2085.36,2099.13,568055936
6/6/2016,2100.83,2113.36,2100.83,2109.41,533129792
6/7/2016,2110.18,2119.22,2110.18,2112.13,536135584
6/8/2016,2112.71,2120.55,2112.71,2119.12,496883392
6/9/2016,2115.65,2117.64,2107.73,2115.48,482667776
6/10/2016,2109.57,2109.57,2089.96,2096.07,552233728
6/13/2016,2091.75,2098.12,2078.46,2079.06,564069248
6/14/2016,2076.65,2081.3,2064.1,2075.32,576817024
6/15/2016,2077.6,2085.65,2069.8,2071.5,575947584
6/16/2016,2066.36,2079.62,2050.37,2077.99,552032576
6/17/2016,2078.2,2078.2,2062.84,2071.22,1301417344
6/20/2016,2075.58,2100.66,2075.58,2083.25,598191232
6/21/2016,2085.19,2093.66,2083.02,2088.9,537166016
6/22/2016,2089.75,2099.71,2084.36,2085.45,519444160
6/23/2016,2092.8,2113.32,2092.8,2113.32,525406336
6/24/2016,2103.81,2103.81,2032.57,2037.41,1403948800
6/27/2016,2031.45,2031.45,1991.68,2000.54,882723904
6/28/2016,2006.67,2036.09,2006.67,2036.09,719004608
6/29/2016,2042.69,2073.13,2042.69,2070.77,691908608
6/30/2016,2073.17,2098.94,2070,2098.86,892900672
7/1/2016,2099.34,2108.71,2097.9,2102.95,551760256
7/5/2016,2095.05,2095.05,2080.86,2088.55,650726976
7/6/2016,2084.43,2100.72,2074.02,2099.73,649664896
7/7/2016,2100.42,2109.08,2089.39,2097.9,546443968
7/8/2016,2106.97,2131.71,2106.97,2129.9,597253888
7/11/2016,2131.72,2143.16,2131.72,2137.16,514516416
7/12/2016,2139.5,2155.4,2139.5,2152.14,599293056
7/13/2016,2153.81,2156.45,2146.21,2152.43,514560576
7/14/2016,2157.88,2168.99,2157.88,2163.75,530310560
7/15/2016,2165.13,2169.05,2155.79,2161.74,643167296
7/18/2016,2162.04,2168.35,2159.63,2166.89,479280256
7/19/2016,2163.79,2164.63,2159.01,2163.78,517261568
7/20/2016,2166.1,2175.63,2164.89,2173.02,500403776
7/21/2016,2172.91,2174.56,2159.75,2165.17,559769216
7/22/2016,2166.47,2175.11,2163.24,2175.03,525963936
7/25/2016,2173.71,2173.71,2161.95,2168.48,511452928
7/26/2016,2168.97,2173.54,2160.18,2169.18,540293568
7/27/2016,2169.81,2174.98,2159.07,2166.58,662897024
7/28/2016,2166.05,2172.85,2159.74,2170.06,565285952
7/29/2016,2168.83,2177.09,2163.49,2173.6,787157184
8/1/2016,2173.15,2178.29,2166.21,2170.84,543821056
8/2/2016,2169.94,2170.2,2147.58,2157.03,619404544
8/3/2016,2156.81,2163.79,2152.56,2163.79,542428992
8/4/2016,2163.51,2168.19,2159.07,2164.25,492510112
8/5/2016,2168.79,2182.87,2168.79,2182.87,569883904
8/8/2016,2183.76,2185.44,2177.85,2180.89,487030880
8/9/2016,2182.24,2187.66,2178.61,2181.74,427990080
8/10/2016,2182.81,2183.41,2172,2175.49,439575328
8/11/2016,2177.97,2188.45,2177.97,2185.79,464781440
8/12/2016,2183.74,2186.28,2179.42,2184.05,432168768
8/15/2016,2186.08,2193.81,2186.08,2190.15,441297760
8/16/2016,2186.24,2186.24,2178.14,2178.15,484490144
8/17/2016,2177.84,2183.08,2168.5,2182.22,499948448
8/18/2016,2181.9,2187.03,2180.46,2187.02,510789248
8/19/2016,2184.24,2185,2175.13,2183.87,580194688
8/22/2016,2181.58,2185.15,2175.96,2182.64,463033728
8/23/2016,2187.81,2193.42,2186.8,2186.9,466739616
8/24/2016,2185.09,2186.66,2171.25,2175.44,472268704
8/25/2016,2173.29,2179,2169.74,2172.47,459402656
8/26/2016,2175.1,2187.94,2160.39,2169.04,494436288
8/29/2016,2170.19,2183.48,2170.19,2180.38,434445696
8/30/2016,2179.45,2182.27,2170.41,2176.12,470171552
8/31/2016,2173.56,2173.79,2161.35,2170.95,659165312
9/1/2016,2171.33,2173.56,2157.09,2170.86,507292928
9/2/2016,2177.49,2184.87,2173.59,2179.98,491385888
9/6/2016,2181.61,2186.57,2175.1,2186.48,569216256
9/7/2016,2185.17,2187.87,2179.07,2186.16,511750080
9/8/2016,2182.76,2184.94,2177.49,2181.3,530088960
9/9/2016,2169.08,2169.08,2127.81,2127.81,733298304
9/12/2016,2120.86,2163.3,2119.12,2159.04,678672320
9/13/2016,2150.47,2150.47,2120.27,2127.02,671924160
9/14/2016,2127.86,2141.33,2119.9,2125.77,613080000
9/15/2016,2125.36,2151.31,2122.36,2147.26,582081152
9/16/2016,2146.48,2146.48,2131.2,2139.16,1474370048
9/19/2016,2143.99,2153.61,2135.91,2139.12,513154496
9/20/2016,2145.94,2150.8,2139.17,2139.76,485033376
9/21/2016,2144.58,2165.11,2139.57,2163.12,584047616
9/22/2016,2170.94,2179.99,2170.94,2177.18,521698208
9/23/2016,2173.29,2173.75,2163.97,2164.69,520729440
9/26/2016,2158.54,2158.54,2145.04,2146.1,517749728
9/27/2016,2146.04,2161.13,2141.55,2159.93,534098176
9/28/2016,2161.85,2172.4,2151.79,2171.37,558074688
9/29/2016,2168.9,2172.67,2145.2,2151.13,616776896
9/30/2016,2156.51,2175.3,2156.51,2168.27,809096384
10/3/2016,2164.33,2164.41,2154.77,2161.2,514417696
10/4/2016,2163.37,2165.46,2144.01,2150.49,563782656
10/5/2016,2155.15,2163.95,2155.15,2159.73,599675328
10/6/2016,2158.22,2162.93,2150.28,2160.77,517704704
10/7/2016,2164.19,2165.86,2144.85,2153.74,620407808
10/10/2016,2160.39,2169.6,2160.39,2163.66,452953152
10/11/2016,2161.35,2161.56,2128.84,2136.73,576879296
10/12/2016,2137.67,2145.36,2132.77,2139.18,458993728
10/13/2016,2130.26,2138.19,2114.72,2132.55,561306496
10/14/2016,2139.68,2149.19,2132.98,2132.98,549012224
10/17/2016,2132.95,2135.61,2124.43,2126.5,479872096
10/18/2016,2138.31,2144.38,2135.49,2139.6,475357952
10/19/2016,2140.81,2148.44,2138.15,2144.29,544920640
10/20/2016,2142.51,2147.18,2133.44,2141.34,571554560
10/21/2016,2139.43,2142.63,2130.09,2141.16,654916224
10/24/2016,2148.5,2154.79,2146.91,2151.33,523593280
10/25/2016,2149.72,2151.44,2141.93,2143.16,531518176
10/26/2016,2136.97,2145.73,2131.59,2139.43,562100224
10/27/2016,2144.06,2147.13,2132.52,2133.04,614987648
10/28/2016,2132.23,2140.72,2119.36,2126.41,641413824
10/31/2016,2129.78,2133.25,2125.53,2126.15,673285120
11/1/2016,2128.68,2131.45,2097.85,2111.72,712708096
11/2/2016,2109.43,2111.76,2094,2097.94,644609408
11/3/2016,2098.8,2102.56,2085.23,2088.66,593296448
11/4/2016,2083.79,2099.07,2083.79,2085.18,624722240
11/7/2016,2100.59,2132,2100.59,2131.52,608628288
11/8/2016,2129.92,2146.87,2123.56,2139.56,556660928
11/9/2016,2131.56,2170.1,2125.35,2163.26,993082624
11/10/2016,2167.49,2182.3,2151.17,2167.48,998151104
11/11/2016,2162.71,2165.92,2152.49,2164.45,734622976
11/14/2016,2165.64,2171.36,2156.08,2164.2,798294848
11/15/2016,2168.29,2180.84,2166.38,2180.39,684014976
11/16/2016,2177.53,2179.22,2172.2,2176.94,569546880
11/17/2016,2178.61,2188.06,2176.65,2187.12,569031552
11/18/2016,2186.85,2189.89,2180.38,2181.9,670633600
11/21/2016,2186.43,2198.7,2186.43,2198.18,571010944
11/22/2016,2201.56,2204.8,2194.51,2202.94,593662272
11/23/2016,2198.55,2204.72,2194.51,2204.72,523791840
11/25/2016,2206.27,2213.35,2206.27,2213.35,262011104
11/28/2016,2210.21,2211.14,2200.36,2201.72,562045760
11/29/2016,2200.76,2210.46,2198.15,2204.66,578292480
11/30/2016,2204.97,2214.1,2198.81,2198.81,1055366912
12/1/2016,2200.17,2202.6,2187.44,2191.08,742115456
12/2/2016,2191.12,2197.95,2188.37,2191.95,587453632
12/5/2016,2200.65,2209.42,2199.97,2204.71,624639552
12/6/2016,2207.26,2212.78,2202.21,2212.23,546795904
12/7/2016,2210.72,2241.63,2208.93,2241.35,705816512
12/8/2016,2241.13,2251.69,2237.57,2246.19,623697536
12/9/2016,2249.73,2259.8,2249.23,2259.53,551473152
12/12/2016,2258.83,2264.03,2252.37,2256.96,629435328
12/13/2016,2263.32,2277.53,2263.32,2271.72,587682560
12/14/2016,2268.35,2276.2,2248.44,2253.28,698708672
12/15/2016,2253.77,2272.12,2253.77,2262.03,619909120
12/16/2016,2266.81,2268.05,2254.24,2258.07,1483124864
12/19/2016,2259.24,2267.47,2258.21,2262.53,492816608
12/20/2016,2266.5,2272.56,2266.14,2270.76,498685952
12/21/2016,2270.54,2271.23,2265.15,2265.18,427310464
12/22/2016,2262.93,2263.18,2256.08,2260.96,473956160
12/23/2016,2260.25,2263.79,2258.84,2263.79,301660032
12/27/2016,2266.23,2273.82,2266.15,2268.88,296788800
12/28/2016,2270.23,2271.31,2249.11,2249.92,378174432
12/29/2016,2249.5,2254.51,2244.56,2249.26,342508320
12/30/2016,2251.61,2253.58,2233.62,2238.83,540389824
1/3/2017,2251.57,2263.88,2245.13,2257.83,644640832
1/4/2017,2261.6,2272.82,2261.6,2270.75,563923392
1/5/2017,2268.18,2271.5,2260.45,2269,563717952
1/6/2017,2271.14,2282.1,2264.06,2276.98,482665024
1/9/2017,2273.59,2275.49,2268.9,2268.9,530640928
1/10/2017,2269.72,2279.27,2265.27,2268.9,592543232
1/11/2017,2268.6,2275.32,2260.83,2275.32,545655744
1/12/2017,2271.14,2271.78,2254.25,2270.44,475570272
1/13/2017,2272.74,2278.68,2271.51,2274.64,483108128
1/17/2017,2269.14,2272.08,2262.81,2267.89,604284224
1/18/2017,2269.14,2272.01,2263.35,2271.89,507557536
1/19/2017,2271.9,2274.33,2258.41,2263.69,508367712
1/20/2017,2269.96,2276.96,2265.01,2271.31,716563456
1/23/2017,2267.78,2271.78,2257.02,2265.2,526228480
1/24/2017,2267.88,2284.63,2266.68,2280.07,551837056
1/25/2017,2288.88,2299.55,2288.88,2298.37,615908288
1/26/2017,2298.63,2300.99,2294.08,2296.68,582538304
1/27/2017,2299.02,2299.02,2291.62,2294.69,514479232
1/30/2017,2286.01,2286.01,2268.04,2280.9,555456320
1/31/2017,2274.02,2279.09,2267.21,2278.87,758256576
2/1/2017,2285.59,2289.14,2272.44,2279.55,610556672
2/2/2017,2276.69,2283.97,2271.65,2280.85,579042496
2/3/2017,2288.54,2298.31,2287.88,2297.42,560874880
2/6/2017,2294.28,2296.18,2288.57,2292.56,509036512
2/7/2017,2295.87,2299.4,2290.16,2293.08,532495104
2/8/2017,2289.55,2295.91,2285.38,2294.67,530667232
2/9/2017,2296.7,2311.08,2296.61,2307.87,533453408
2/10/2017,2312.27,2319.23,2311.1,2316.1,510223232
2/13/2017,2321.72,2331.58,2321.42,2328.25,496478944
2/14/2017,2326.12,2337.58,2322.17,2337.58,542220416
2/15/2017,2335.58,2351.3,2334.81,2349.25,558573056
2/16/2017,2349.64,2351.31,2338.87,2347.22,530389088
2/17/2017,2343.01,2351.16,2339.58,2351.16,659699008
2/21/2017,2354.91,2366.71,2354.91,2365.38,572986048
2/22/2017,2361.11,2365.13,2358.34,2362.82,516228864
2/23/2017,2367.5,2368.26,2355.09,2363.81,546630336
2/24/2017,2355.73,2367.34,2352.87,2367.34,608415552
2/27/2017,2365.23,2371.54,2361.87,2369.75,483942048
2/28/2017,2366.08,2367.79,2358.96,2363.64,764148544
3/1/2017,2380.13,2400.98,2380.13,2395.96,652781440
3/2/2017,2394.75,2394.75,2380.17,2381.92,524223104
3/3/2017,2380.92,2383.89,2375.39,2383.12,487154592
3/6/2017,2375.23,2378.8,2367.98,2375.31,515218656
3/7/2017,2370.74,2375.12,2365.51,2368.39,495074592
3/8/2017,2369.81,2373.09,2361.01,2362.98,544389568
3/9/2017,2363.49,2369.08,2354.54,2364.87,512495808
3/10/2017,2372.52,2376.86,2363.04,2372.6,530017280
3/13/2017,2371.56,2374.42,2368.52,2373.47,468236416
3/14/2017,2368.55,2368.55,2358.18,2365.45,443847040
3/15/2017,2370.34,2390.01,2368.94,2385.26,534171424
3/16/2017,2387.71,2388.1,2377.18,2381.38,500862688
3/17/2017,2383.71,2385.71,2377.64,2378.25,1610664448
3/20/2017,2378.24,2379.55,2369.66,2373.47,487434816
3/21/2017,2379.32,2381.93,2341.9,2344.02,658820992
3/22/2017,2343,2351.81,2336.45,2348.45,569714368
3/23/2017,2345.97,2358.92,2342.13,2345.96,512105376
3/24/2017,2350.42,2356.22,2335.74,2343.98,555441984
3/27/2017,2329.11,2344.9,2322.25,2341.59,539624512
3/28/2017,2339.79,2363.78,2337.63,2358.57,510297504
3/29/2017,2356.54,2363.36,2352.94,2361.13,445232512
3/30/2017,2361.31,2370.42,2358.58,2368.06,486535456
3/31/2017,2364.82,2370.35,2362.6,2362.72,614252992
4/3/2017,2362.34,2365.87,2344.73,2358.84,649208448
4/4/2017,2354.76,2360.53,2350.72,2360.16,479046432
4/5/2017,2366.59,2378.36,2350.52,2352.95,561280448
4/6/2017,2353.79,2364.16,2348.9,2357.49,522983520
