,Date,Year,No of Tweets
0,2016-01-01,2016,12
1,2016-01-02,2016,11
2,2016-01-03,2016,18
3,2016-01-04,2016,1
4,2016-01-05,2016,12
5,2016-01-06,2016,17
6,2016-01-07,2016,14
7,2016-01-08,2016,13
8,2016-01-09,2016,10
9,2016-01-10,2016,13
10,2016-01-11,2016,11
11,2016-01-12,2016,12
12,2016-01-13,2016,15
13,2016-01-14,2016,14
14,2016-01-15,2016,5
15,2016-01-16,2016,15
16,2016-01-17,2016,6
17,2016-01-18,2016,7
18,2016-01-19,2016,17
19,2016-01-20,2016,13
20,2016-01-21,2016,15
21,2016-01-22,2016,31
22,2016-01-23,2016,10
23,2016-01-24,2016,13
24,2016-01-25,2016,22
25,2016-01-26,2016,29
26,2016-01-27,2016,10
27,2016-01-28,2016,32
28,2016-01-29,2016,20
29,2016-01-30,2016,7
30,2016-01-31,2016,17
31,2016-02-01,2016,4
32,2016-02-02,2016,16
33,2016-02-03,2016,15
34,2016-02-04,2016,9
35,2016-02-05,2016,10
36,2016-02-06,2016,17
37,2016-02-07,2016,22
38,2016-02-08,2016,12
39,2016-02-09,2016,15
40,2016-02-10,2016,4
41,2016-02-11,2016,4
42,2016-02-12,2016,19
43,2016-02-13,2016,23
44,2016-02-14,2016,19
45,2016-02-15,2016,9
46,2016-02-16,2016,10
47,2016-02-17,2016,18
48,2016-02-18,2016,14
49,2016-02-19,2016,19
50,2016-02-20,2016,17
51,2016-02-21,2016,10
52,2016-02-22,2016,17
53,2016-02-23,2016,27
54,2016-02-24,2016,22
55,2016-02-25,2016,10
56,2016-02-26,2016,20
57,2016-02-27,2016,19
58,2016-02-28,2016,27
59,2016-02-29,2016,13
60,2016-03-01,2016,12
61,2016-03-02,2016,20
62,2016-03-03,2016,19
63,2016-03-04,2016,12
64,2016-03-05,2016,20
65,2016-03-06,2016,15
66,2016-03-07,2016,14
67,2016-03-08,2016,22
68,2016-03-09,2016,10
69,2016-03-10,2016,1
70,2016-03-11,2016,16
71,2016-03-12,2016,17
72,2016-03-13,2016,11
73,2016-03-14,2016,7
74,2016-03-15,2016,27
75,2016-03-16,2016,7
76,2016-03-17,2016,8
77,2016-03-18,2016,15
78,2016-03-19,2016,23
79,2016-03-20,2016,13
80,2016-03-21,2016,1
81,2016-03-22,2016,13
82,2016-03-23,2016,15
83,2016-03-24,2016,24
84,2016-03-25,2016,1
85,2016-03-26,2016,13
86,2016-03-27,2016,8
87,2016-03-28,2016,11
88,2016-03-29,2016,15
89,2016-03-30,2016,7
90,2016-03-31,2016,7
91,2016-04-01,2016,10
92,2016-04-02,2016,9
93,2016-04-03,2016,12
94,2016-04-04,2016,9
95,2016-04-05,2016,6
96,2016-04-08,2016,8
97,2016-04-09,2016,11
98,2016-04-10,2016,13
99,2016-04-11,2016,14
100,2016-04-12,2016,5
101,2016-04-13,2016,4
102,2016-04-14,2016,6
103,2016-04-15,2016,3
104,2016-04-16,2016,12
105,2016-04-18,2016,5
106,2016-04-19,2016,16
107,2016-04-20,2016,10
108,2016-04-21,2016,7
109,2016-04-22,2016,4
110,2016-04-23,2016,10
111,2016-04-24,2016,8
112,2016-04-25,2016,11
113,2016-04-26,2016,14
114,2016-04-27,2016,15
115,2016-04-28,2016,14
116,2016-04-29,2016,9
117,2016-04-30,2016,6
118,2016-05-01,2016,9
119,2016-05-02,2016,12
120,2016-05-03,2016,12
121,2016-05-04,2016,7
122,2016-05-05,2016,5
123,2016-05-06,2016,15
124,2016-05-07,2016,8
125,2016-05-08,2016,1
126,2016-05-09,2016,16
127,2016-05-10,2016,16
128,2016-05-11,2016,16
129,2016-05-12,2016,2
130,2016-05-13,2016,3
131,2016-05-14,2016,3
132,2016-05-15,2016,13
133,2016-05-16,2016,14
134,2016-05-17,2016,18
135,2016-05-18,2016,34
136,2016-05-19,2016,5
137,2016-05-20,2016,15
138,2016-05-21,2016,10
139,2016-05-25,2016,12
140,2016-05-26,2016,8
141,2016-05-27,2016,5
142,2016-05-28,2016,11
143,2016-05-29,2016,6
144,2016-05-30,2016,13
145,2016-05-31,2016,9
